index,MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,Summary
0,1,Look Who's Talking,PG-13,7500000,296000000,1989-10-12,Romance,93,5.9,73638,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over."
1,2,Driving Miss Daisy,PG,7500000,145793296,1989-12-13,Comedy,99,7.4,91075,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
2,3,Turner & Hooch,PG,13000000,71079915,1989-07-28,Crime,100,7.2,91415,"Det. Scott Turner (Tom Hanks) is an uptight, by-the-book police officer. When his friend Amos Reed (John McIntire), the proprietor of a junkyard, is killed, Turner reluctantly inherits the man's dog. Turner adjusts to life with the dog to help solve a murder case. "
3,4,Born on the Fourth of July,R,14000000,161001698,1989-12-20,War,145,7.2,91415,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
4,5,Field of Dreams,PG,15000000,84431625,1989-04-21,Drama,107,7.5,101702,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come."
5,6,Uncle Buck,PG,15000000,79258538,1989-08-16,Family,100,7,77659,Bachelor and all-round slob Buck babysits his brothers rebellious teenage daughter and her cute younger brother and sister.
6,7,When Harry Met Sally...,R,16000000,92800000,1989-07-21,Romance,96,7.6,180871,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
7,8,Dead Poets Society,PG,16400000,235860116,1989-06-02,Drama,129,8.1,382002,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
8,9,Parenthood,PG-13,20000000,126297830,1989-07-31,Comedy,124,7,41866,"The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."
9,10,Lethal Weapon 2,R,25000000,227853986,1989-07-07,Comedy,114,7.2,151737,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.
10,11,The War of the Roses,R,26000000,160200000,1989-12-08,Comedy,116,6.8,45248,A married couple try everything to get each other to leave the house in a vicious divorce battle.
11,12,National Lampoon's Christmas Vacation,PG-13,27000000,71320000,1989-12-01,Action,97,7.6,135690,The Griswold familys plans for a big family Christmas predictably turn into a big disaster.
12,13,"Honey, I Shrunk the Kids",PG,32000000,222724172,1989-06-22,Family,93,6.3,132480,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
13,14,Batman,PG,35000000,411348924,1989-06-23,Action,126,7.5,319517,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
14,15,Ghostbusters II,PG,37000000,215394738,1989-06-15,Comedy,108,6.6,171196,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
15,16,The Little Mermaid,PG,40000000,222300000,1989-11-17,Animation,83,7.6,219221,A mermaid princess makes a Faustian bargain in an attempt to become human and win a princes love.
16,17,Back to the Future Part II,PG,40000000,332000000,1989-11-20,Science Fiction,108,7.8,438940,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
17,18,Indiana Jones and the Last Crusade,PG-13,48000000,474171806,1989-05-24,Adventure,127,8.2,647495,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against Adolf Hitlers Nazis again to stop them from obtaining its powers."
18,19,Tango & Cash,R,55000000,63408614,1989-12-22,Action,104,6.8,79806,"Framed by their ruthless arch-nemesis, a mismatched LAPD crime-fighting duo has to put its differences aside to even the score with the evil kingpin who put them behind bars once and for all."
19,20,Steel Magnolias,PG,15000000,95904091,1989-11-15,Drama,119,7.3,43037,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
20,21,Three Men and a Little Lady,PG,11000000,71600000,1990-11-21,Family,104,6.1,127793,"Sequel to Three Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes."
21,22,Teenage Mutant Ninja Turtles,PG,13500000,202000000,1990-03-30,Action,93,6.8,79806,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
